"","ICD9CM.1","Age","pm2p5","pm2p5_5","pm2p5_10","n"
"287"," 3829",7.98753117206983,18.4628164900249,17.3220828553616,17.2790560130923,401
"288"," 38400",23.25,17.91625,13.01113125,12.08114375,4
"289"," 38420",28.3333333333333,18.953125,18.2217166666667,16.9454270833333,6
"290"," 38500",12,23.3375,14.6865,12.5661125,1
"291"," 38582",23,9.195375,14.186325,15.9241625,1
"292"," 3859",5,43.9375,44.43,33.63575,1
"293"," 38610",44,8.5685975,17.1898765,13.12035225,5
"294"," 38611",47.525974025974,14.3190084415584,14.3879385714286,15.202775974026,154
"295"," 38612",33.5,10.4975,12.438475,13.1679875,2
"296"," 38630",40.4285714285714,10.7316071428571,15.5949125,13.3994258928571,7
"297"," 3864",46,35.08125,28.8152875,24.02897625,2
"298"," 38812",27,7.945,9.619275,8.6868625,1
"299"," 38830",50.5,24.17903125,21.0077125,19.5194078125,8
"300"," 38860",22.3333333333333,11.5906666666667,14.0706829166667,15.56496,6
"301"," 38869",47.75,17.838125,15.57074375,13.55032,4
"302"," 3887",6,4.5925,24.198975,29.3769875,1
"303"," 38870",21.7397769516729,14.8087340148699,14.3696725,14.7769423977695,269
"304"," 3888",26.3333333333333,11.3583333333333,20.1669658333333,18.4595120833333,3
"305"," 3899",71,14.029375,15.1089,16.7229875,2
"306"," 4019",61.5342789598109,15.9673041962175,16.581925821513,16.8551975118203,423
"307"," 40390",56,42.3875,18.51325,16.33703,1
"308"," 41040",53.5,29.908125,17.0214,11.47199375,2
"309"," 4109",72,5.78375,10.234,15.641625,1
"310"," 4111",54.6875,11.1431953125,10.834815625,12.4963765625,16
"311"," 4139",60,9.30625,15.15125,13.4094125,1
"312"," 4254",75,19.3,22.3125,16.8445125,1
"313"," 4270",60.875,12.2042796875,14.1338884375,14.47607703125,8
"314"," 4271",22,17.51125,13.5325,13.6995375,1
"315"," 42731",59.6538461538462,17.8829899038462,15.7439820192308,15.6402491826923,26
"316"," 42732",70.8333333333333,13.271625,14.3341416666667,17.2162283333333,6
"317"," 4275",67.2280701754386,14.7278938596491,16.0678076315789,16.3829710526316,57
"318"," 42760",48,13.18625,14.99706,18.38653,1
"319"," 42761",77,6.800375,9.85585,10.5077275,2
